"Var1","Freq"
"NY",356
"OR",73
"ON",109
"DC",74
"LA",70
"OH",156
"CA",463
"NC",87
"NV",40
"WV",24
"Ca",58
"TX",373
"PA",162
"MA",79
"US",286
"Je",8
"IL",122
"TN",71
"KS",414
"MS",21
"MO",52
"AB",15
"Wo",2
"IN",66
"Se",52
"MN",37
"AR",54
"AZ",35
"MB",7
"MI",35
"ME",21
"KY",55
"45",1
"St",33
"OK",81
"FL",99
"Co",47
"NM",19
"MD",73
"VA",117
"GA",118
"Be",14
"WA",59
"CT",74
"CO",59
"SC",45
"ID",10
"NH",9
"WI",49
"IA",35
"Sw",5
"Mu",1
"Mc",17
"Ch",3
"Ri",11
"UT",20
"Ki",1
"NE",9
"Mi",18
"Ra",2
"RI",4
"Sa",4
"Ir",11
"NJ",38
"De",15
"SD",4
"QC",16
"AL",36
"Gu",1
"Ka",3
"Ad",1
"UK",21
"Ta",6
"Po",7
"Fi",5
"Br",4
"Th",2
"Sv",1
"WY",2
"No",5
"ND",7
"VT",8
"La",3
"Pa",1
"Ma",3
"Ge",1
"Ar",1
"He",1
"00",1
"Oa",1
"MT",8
"Cr",2
"BC",3
"Do",2
"Me",2
"Le",2
"Qu",2
"Bo",2
"77",1
"28",2
"Ne",2
"Lo",1
"DE",7
"99",1
"Pu",1
"Fa",1
"Ja",1
"DF",1
"Ec",1
"Sh",1
"At",1
"Ho",1
"Tu",1
"Nr",1
"Zo",1
"Ic",1
"Wi",1
"Hi",1
"Bl",1
